formulation,scenario,climate,value_statement,capture_core_habitat,capture_connectivity,capture_carbon,capture_biodiversity,tail_m_soc,tail_biomass,anchor_mean_lat,frequent_km2_guarded,frequent_km2_unguarded,D_unguarded,D_guarded
s0_ssp585_theta5,Balanced,ssp585,all four value themes hold their intended influence shares,0.4742,0.3177,0.3519,0.3277,0.41,0.502,52.92643737792969,42733,650,1.0,0.8037202954292297
s1_ssp585_theta5,Core-habitat-forward,ssp585,climate macrorefugia (core habitat) carries a doubled influence share,0.5039,0.29655,0.31805,0.3192,0.362,0.3,52.5700798034668,74160,23106,0.8869396448135376,0.6636013388633728
s2_ssp585_theta5,Connectivity-forward,ssp585,connectivity (transboundary current + climate corridors) carries a doubled share,0.4251,0.36305,0.32920000000000005,0.3052,0.303,0.381,56.358619689941406,30509,29,1.0,0.8533050417900085
s3_ssp585_theta5,Biodiversity-forward,ssp585,AOH richness (birds + mammals) carries a doubled share,0.425,0.29595,0.34555,0.3497,0.489,0.422,50.34812927246094,9636,0,1.0,0.9488904476165771
s4_ssp585_theta3,Carbon-forward,ssp585,carbon carries a doubled share and the mineral-soil target rises 0.332 -> 0.552 (theta 3x),0.4321,0.31984999999999997,0.47135000000000005,0.30895,0.954,0.891,55.70616912841797,50544,20351,0.9265058040618896,0.7627813220024109
s5_ssp585_theta5,Intactness push (S0 + gHM x10),ssp585,S0 with the (inexpressible) intactness layer pushed x10 -- the Claim-B demonstration,0.47,0.32084999999999997,0.3498,0.32299999999999995,0.39,0.509,53.52920913696289,39585,0,1.0,0.8086771965026855
s0_ssp245_theta5,Balanced,ssp245,all four value themes hold their intended influence shares,0.449,0.3114,0.34650000000000003,0.33294999999999997,0.429,0.497,51.97975158691406,53834,1844,0.9905787706375122,0.7609473466873169
s1_ssp245_theta5,Core-habitat-forward,ssp245,climate macrorefugia (core habitat) carries a doubled influence share,0.4693,0.29245,0.32045,0.32699999999999996,0.392,0.346,51.547298431396484,80802,34491,0.8359454274177551,0.6279598474502563
s2_ssp245_theta5,Connectivity-forward,ssp245,connectivity (transboundary current + climate corridors) carries a doubled share,0.4067,0.36145,0.3258,0.30735,0.304,0.375,56.02143096923828,33108,63,1.0,0.8461893200874329
s3_ssp245_theta5,Biodiversity-forward,ssp245,AOH richness (birds + mammals) carries a doubled share,0.4091,0.29325,0.3391,0.3506,0.498,0.399,50.04454803466797,24617,21,1.0,0.8853729367256165
s4_ssp245_theta3,Carbon-forward,ssp245,carbon carries a doubled share and the mineral-soil target rises 0.332 -> 0.552 (theta 3x),0.4127,0.31515000000000004,0.46555,0.31225,0.965,0.888,55.19414138793945,60395,22135,0.917414665222168,0.7184888124465942
s5_ssp245_theta5,Intactness push (S0 + gHM x10),ssp245,S0 with the (inexpressible) intactness layer pushed x10 -- the Claim-B demonstration,0.4463,0.3154,0.3471,0.32915,0.415,0.509,52.50017166137695,46329,0,1.0,0.7824360132217407
