fundamental_objective,sub_objective,performance_measure,source,in_the_analysis
PROTECT — wildlife have sufficient core habitat,Quantity of core habitat,Protected land: today's protected areas are locked in and every plan protects 30% of Y2Y,Y2Y protected areas 2025 (IUCN definitions),"The budget: 30% of the region, including the 15% already protected"
,Quality of core habitat,"Climate refugia: refugial residence time (1 / backward climate velocity), 2071–2100, two emission futures","AdaptWest 2023, CMIP6 backward climate velocity (8-GCM ensemble)","Core-habitat theme: 25% of the objective in the balanced position; the two futures (SSP2-4.5, SSP5-8.5) are separate value positions"
,Quality of core habitat,Naturalness: 1 − human modification,"Theobald et al., global human modification (gHM v3)","In every formulation at its baseline weight; it cannot move the answer — disclosed, not a driver"
,Biodiversity,"Mammal richness (species per km², area-of-habitat maps, all species)","Lumbierres et al., AOH species richness (mammals)",Biodiversity theme: 25% (balanced); the two layers weighted equally
,Biodiversity,"Bird richness (species per km², area-of-habitat maps, all species)","Lumbierres et al., AOH species richness (birds)",
,Representativeness,"Presence of 20 ecosystem functional groups (curated from 40 under the input pre-screen, rule R0)","IUCN Global Ecosystem Typology, indicative maps (Keith et al. 2022)","A representation floor, not a weighted theme: rarity-scaled targets of 10–50% per class, rarity judged in the region + 250 km"
CONNECT — wildlife corridors connect core habitats,Quality of connectivity,Climate corridors: current-flow centrality,Carroll et al. 2018,Connectivity theme: 25% (balanced); the two layers weighted equally
,Quality of connectivity,Habitat connectivity: transboundary omnidirectional current density,Pither et al. 2023 / O'Brien et al. (transboundary extension),
ADDRESS CLIMATE CHANGE — keep carbon out of the air,Carbon,Irrecoverable carbon in biomass,"Berman & McDowell, irrecoverable carbon",Carbon theme: 25% (balanced); the two pools split 74 / 26 by mass
,Carbon,Irrecoverable carbon in mineral soil,"Berman & McDowell, irrecoverable carbon",Security target: 33% of the regional total (55% in the carbon-forward position)
NOT IN THIS ANALYSIS,Communities · Water · Cost,Bear-smart communities; water; dollars,—,Communities and water were not flushed out in the objectives hierarchy; the 30% area budget stands in for cost
